BGC	Genus	Name	Compound_count	MW	TPSA	LOGP	HACC	HDON	Type	Activities	Structure	Antibacterial	Antifungal	Siderophore	Orf_length
BGC0001939	Streptomyces	streptoseomycin	1	-1	NA	NA	NA	NA	Polyketide	NA	NA	1	0	0	0	41
BGC0001510	Streptomyces	anisomycin	1	265.131408088	67.79	0.5021	5	2	Other	NA	COC1=CC=C(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)C=C1	1	0	0	0	13
BGC0001167	Microcystis	piricyclamide	1	-1	NA	NA	NA	NA	RiPP	NA	NA	0	0	0	0	12
BGC0001303	Micromonospora	lobosamide A	3	483.298473412	110.02	3.5944	5	5	Polyketide	NA	C[C@H]1CC=CC=C(C)C=C(C)C=C\C=C/[C@H](O)C[C@H](O)[C@@H](O)[C@H](O)[C@@H](C)C=CC=CC=CC(=O)N1	1	0	0	0	46
BGC0000229	Streptomyces	grincamycin	1	938.393615144	249.34	3.8426	18	4	Polyketide	Cytotoxic	C[C@@H]1O[C@H](CC[C@@H]1O[C@H]1CCC(=O)[C@H](C)O1)O[C@@H]1[C@@H](C)O[C@H](C[C@H]1O)C1=CC=C2C(=O)C3=C(C=C[C@]4(O)C[C@](C)(CC(=O)[C@]34O)O[C@H]3CC[C@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)C(=O)C2=C1O	1	0	0	0	34
BGC0001810	Polymorphospora	trehangelin	1	506.199941148	201.67	-2.363	13	6	Polyketide	NA	C/C=C(\C)/C(=O)O[C@H]1[C@@H]([C@H](O[C@@H]([C@@H]1O)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)OC(=O)/C(=C/C)/C)CO)CO)O	1	0	0	0	12
BGC0001422	Myxococcus	myxochromide A	1	833.468726596	226.41	2.3437	9	5	NRP	NA	CC\C=C\C=C\C=C\C=C\C=C\C=C\C=C\C(=O)N(C)[C@H]1[C@@H](C)OC(=O)[C@H](CCC(N)=O)NC(=O)C(C)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)C(C)NC1=O	0	0	0	0	24
BGC0000064	Fusarium	fusarin	1	387.204573028	99.16	2.2552	5	3	Polyketide	NA	C/C=C(/C)\C=C(/C)\C=C(/C)\C=C\C=C(/C)\C(=O)[C@@]12[C@@H](O1)[C@](NC2=O)(CCO)O	2	0	0	0	1
BGC0000084	Streptomyces	laidlomycin	1	698.424127424	170.44	4.1896	11	4	Polyketide	NA	CCC(=O)OC(C(C)C1OC2(CCC(C)(O2)C2CCC(C)(O2)C2OC(CC2C)C2OC(O)(CO)C(C)CC2C)CC(O)C1C)C(C)C(O)=O	1	0	0	0	32
BGC0000127	Pseudomonas	pyoluteorin	1	270.980298444	73.32	2.9637	3	3	Polyketide	NA	OC1=CC=CC(O)=C1C(=O)C1=CC(Cl)=C(Cl)N1	0	0	0	0	18
BGC0000608	Actinokineospora	nocathiacin	1	1550.27422001	477.29	3.1554	32	11	RiPP	NA	C[C@H]1[C@H]([C@@](C[C@@H](O1)O[C@H]2[C@@H]3[C@H]4C5=NC(=CS5)C(=O)N[C@@H](COC(=O)C6=C(CO3)C7=C(COC2=O)C=CC=C7N6O)C8=NC(=CS8)C9=N/C(=C/1\NC(=CS1)C(=O)NC(=C)C(=O)N)/C(=O)C=C9C1=NC(=CS1)C(=O)N[C@H](C(=O)N/C(=C(\C)/OC)/C1=NC(=CS1)C(=O)N4)[C@@H](C)O)(C)O)N(C)C.C(=O)(C(F)(F)F)O	1	0	0	0	4
BGC0001932	Kitasatospora	mediomiycin A	1	-1	NA	NA	NA	NA	Polyketide	NA	NA	1	0	0	0	25
BGC0001854	Trichoderma	tricholignan A	1	-1	NA	NA	NA	NA	Polyketide	Iron reducing	NA	2	0	0	0	8
BGC0000500	Carnobacterium	carnolysin A1	2	-1	NA	NA	NA	NA	RiPP	NA	NA	1	0	0	0	7
BGC0000331	Planktothrix	cyanopeptin	1	-1	NA	NA	NA	NA	NRP	NA	NA	0	0	0	0	4
BGC0000725	Pseudomonas	alginate	1	396.09148786	207.33	-6.5738	13	4	Saccharide	NA	COC1C(C(C(OC1C(=O)[O-])OC2C(C(C(OC2C(=O)[O-])OC)O)O)O)O	0	0	0	0	12
BGC0000901	Aspergillus	ferrichrome	1	739.233586184	304.71	-3.82	12	6	Other	NA	CC(=O)N(CCCC1C(=O)NC(C(=O)NC(C(=O)NCC(=O)NCC(=O)NCC(=O)N1)CCCN(C(=O)C)[O-])CCCN(C(=O)C)[O-])[O-].[55Fe+3]	2	0	0	0	3
BGC0000082	Actinomadura	kijanimicin	1	1316.66660208	347.75	5.4539	24	7	Polyketide	NA	C[C@H]1C[C@@H]([C@@H]([C@@H]2[C@@H]1[C@]3([C@@H](C=C2)/C(=C\C[C@@H](/C(=C/[C@@H]4C=C([C@@H](C[C@@]45C(=O)C(=C(O5)O)C3=O)C)CO)/C)O[C@H]6C[C@]([C@H]([C@H](O6)C)NC(=O)OC)(C)[N+](=O)[O-])/C)C)O[C@H]7C[C@H]([C@H]([C@@H](O7)C)O)O[C@H]8C[C@H]([C@H]([C@@H](O8)C)O[C@@H]9C[C@H]([C@H]([C@@H](O9)C)OC)O)O[C@H]1C[C@H]([C@H]([C@@H](O1)C)O)O)C	1	0	0	0	43
BGC0002003	[Polyangium]	glidopeptin A	1	-1	NA	NA	NA	NA	NRP	NA	NA	0	0	0	0	8
BGC0000668	Hapalosiphon	12-epi-hapalindole C isonitrile	12	304.193948768	20.15	5.71779	0	1	Terpene	NA	CC(=C)[C@H]1CC[C@@](C)(C=C)[C@H]([N+]#[C-])[C@@H]1C1=CNC2=C1C=CC=C2	0	0	0	0	30
BGC0000984	Delftia	delftibactin A	2	1032.48360134	522.52	-9.1128	19	18	NRP	NA	C/C=C(/C(=O)NC(CCCN(C=O)O)C(=O)NC(CO)C(=O)NC(CCCN=C(N)N)C(=O)NC1CCCN(C1=O)O)\NC(=O)CNC(=O)C(C(C)O)NC(=O)C(C(C(=O)O)O)NC(=O)C(C)C(C(C)N)O	0	0	0	0	7
BGC0001708	Aspergillus	novofumigatonin	1	460.209717984	97.36	2.8829	8	0	Polyketide	NA	C[C@H]1CCC2[C@@]([C@]13C[C@]4([C@@H]([C@@H]5[C@H]6[C@](OC5=O)(O[C@@]4(O6)O3)C)C)C)(C=CC(=O)OC2(C)C)C=O	2	0	0	0	13
BGC0001296	Streptomyces	streptazone E	1	187.099714036	29.1	1.8752	2	1	Polyketide	NA	C\C=C\C=C1/C=CC2=C1C(=O)CCN2	1	0	0	0	12
BGC0001023	Stigmatella	myxochromide S1	1	722.400312688	206.1	1.9626	8	5	NRP	NA	C\C=C\C=C\C=C\C=C\C=C\C=C\C=C\C(=O)N(C)[C@H]1[C@@H](C)OC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC1=O	0	0	0	0	3
BGC0001171	Listeria	listeriolysin S	1	-1	NA	NA	NA	NA	RiPP	Cytotoxic	NA	1	0	0	0	8
BGC0001231	Jahnella	microsclerodermin	1	868.315846688	311.85	-2.9416	12	12	NRP	Antibacterial	O=C([C@@H](O)[C@H](NC(C[C@@H](O)CNC(CNC([C@@H](CC1=CNC2=C1C=CC(Cl)=C2)NC(CN(C(C3)=O)C)=O)=O)=O)=O)[C@H](O)[C@@H](O)C/C=C/C4=CC=CC=C4)N[C@H](C5)[C@@]3(O)NC5=O	0	1	0	0	14
BGC0000257	Streptomyces	prodigiosin	1	323.19976242	53.17	2.97012	2	2	Polyketide	NA	CCCCCC1=C(NC(=C1)/C=C\2/C(=C/C(=C/3\C=CC=N3)/N2)OC)C	1	0	0	0	24
BGC0000154	Talaromyces	stipitatic acid	1	182.021523292	94.83	0.1562	4	3	Polyketide	Antiplasmodial	C1=C(C=C(C(=CC1=O)O)O)C(=O)O	2	0	0	0	14
BGC0001665	Mycobacterium	methylated alkyl-resorcinol	2	-1	NA	NA	NA	NA	Polyketide	NA	NA	1	0	0	0	6
BGC0001908	Streptomyces	sceliphrolactam	1	-1	NA	NA	NA	NA	Polyketide	NA	NA	1	0	0	0	25
BGC0000217	Streptomyces	daunorubicin	1	527.179146128	185.84	1.0289	11	5	Polyketide	NA	C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)C)O)N)O	1	0	0	0	9
BGC0000561	Streptococcus	thermophilin 1277	1	-1	NA	NA	NA	NA	RiPP	NA	NA	1	0	0	0	20
BGC0001957	Streptomyces	amipurimycin	1	-1	NA	NA	NA	NA	Polyketide	NA	NA	1	0	0	0	30
BGC0000535	Lactococcus	nisin A	1	3351.5452033	1213.57	-11.4707	49	41	RiPP	Antibacterial,Signalling	CCC(C)C1C(=O)NC(=C)C(=O)NC(C(=O)NC(CSCC(C(=O)N1)NC(=O)/C(=C/C)/NC(=O)C(C(C)CC)N)C(=O)NC2C(SCC(NC(=O)CNC(=O)C3CCCN3C2=O)C(=O)NC(CCCCN)C(=O)NC4C(SCC(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC4=O)C)CC(C)C)CCSC)C(=O)NC(CC(=O)N)C(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)NC5C(SCC6C(=O)NC(C(=O)NC(CSC(C(C(=O)N6)NC(=O)C(NC5=O)C)C)C(=O)NC(CO)C(=O)NC(C(C)CC)C(=O)NC(CC7=CNC=N7)C(=O)NC(C(C)C)C(=O)NC(=C)C(=O)NC(CCCCN)C(=O)O)CC8=CNC=N8)C)C)C)CC(C)C	1	1	0	0	11
BGC0000457	Rhizobium	vicibactin	1	774.364715028	287.82	-0.5265	15	6	NRP	NA	C[C@@H]1CC(=O)N(O)CCC[C@@H](NC(C)=O)C(=O)O[C@H](C)CC(=O)N(O)CCC[C@@H](NC(C)=O)C(=O)O[C@H](C)CC(=O)N(O)CCC[C@@H](NC(C)=O)C(=O)O1	0	0	0	0	9
BGC0000185	Teredinibacter	tartrolon	1	878.496367044	173.35	4.3158	13	2	Polyketide	NA	[B-]123OC4C(=O)OC(CC/C=C\CCCCC(CC(=O)C([C@@H]5CC[C@H]([C@@](O1)(O5)C(O2)C(=O)OC(CC/C=C\C=C\CCC(CC(=O)C([C@@H]6CC[C@H]([C@]4(C6)O3)C)C)O)C)C)C)O)C.[Na+]	0	0	0	0	10
BGC0002016	Streptomyces	lugdunomycin	1	-1	NA	NA	NA	NA	Polyketide	NA	NA	1	0	0	0	27
BGC0000174	Candidatus	bryostatin	1	904.445650716	240.11	4.2799	17	4	Polyketide	NA	CCC/C=C/C=C/C(=O)O[C@H]1/C(=C/C(=O)OC)/C[C@H]2C[C@@H](OC(=O)C[C@@H](C[C@@H]3CC(C([C@@](O3)(C[C@@H]4C/C(=C/C(=O)OC)/C[C@@H](O4)/C=C/C([C@@]1(O2)O)(C)C)O)(C)C)OC(=O)C)O)[C@@H](C)O	0	0	0	0	5
BGC0001805	Klebsiella	tilivalline	1	333.147726848	68.36	3.6449	3	3	NRP	NA	C1C[C@H]2[C@@H](NC3=C(C=CC=C3O)C(=O)N2C1)C4=CNC5=CC=CC=C54	0	0	0	0	19
BGC0001902	Myxococcus	bengamide	1	-1	NA	NA	NA	NA	NRP	NA	NA	0	0	0	0	18
BGC0000898	Streptomyces	desosamine	1	175.120843404	52.93	-0.5953	4	2	Saccharide	Antibacterial	C[C@@H]1C[C@@H]([C@H]([C@@H](O1)O)O)N(C)C	1	1	0	0	9
BGC0000588	Escherichia	microcin L	1	-1	NA	NA	NA	NA	RiPP	NA	NA	0	0	0	0	11
BGC0001817	Streptomyces	vancosamine	1	161.10519334	83.55	-0.9655	4	3	Other	NA	C[C@@H]([C@H]([C@](C)(CC=O)N)O)O	1	0	0	0	5
BGC0000614	Streptomyces	thiostrepton	1	1663.49235188	562.74	0.7739	31	17	RiPP	NA	CCC(C)C1C(=O)NC(C(=O)NC(=C)C(=O)NC(C(=O)NC23CCC(=NC2C4=CSC(=N4)C(C(OC(=O)C5=NC6=C(C=CC(C6O)N1)C(=C5)C(C)O)C)NC(=O)C7=CSC(=N7)C(NC(=O)C8CSC(=N8)/C(=C\C)/NC(=O)C(NC(=O)C9=CSC3=N9)C(C)O)C(C)(C(C)O)O)C1=NC(=CS1)C(=O)NC(=C)C(=O)NC(=C)C(=O)N)C)C	1	0	0	0	21
BGC0000114	Streptomyces	nigericin	1	724.476162996	142.37	5.7056	10	3	Polyketide	 veterinary medicine, animal husbandry,antimalaria	[H][C@](C)(C(O)=O)[C@]1([H])O[C@@H](C[C@@H]2C[C@@H](OC)[C@@H](C)[C@@]3(O[C@@](C)(C[C@H]3C)[C@@]3([H])CC[C@](C)(O3)[C@]3([H])O[C@]([H])(C[C@@H]3C)[C@@]3([H])O[C@@](O)(CO)[C@H](C)C[C@@H]3C)O2)CC[C@@H]1C	1	0	0	0	18
BGC0001931	unidentified	carrimycin	1	-1	NA	NA	NA	NA	Polyketide	NA	NA	3	0	0	0	45
BGC0001645	Streptomyces	lagmysin	1	1515.80454151	606.34	-7.2704	21	20	RiPP	NA	C[C@H]1C(=O)NCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(=O)N[C@H](C(=O)N1)CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)NCC(=O)N[C@@H](CC3=CN=CN3)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)O)CO)CCC(=O)N	1	0	0	0	5
BGC0000110	Streptomyces	spectinabilin	4	477.215137712	91.81	6.55734	6	0	Polyketide	NA	COC1=C(C)C(=O)C(C)=C(O1)C1C\C(CO1)=C\C(\C)=C\C(\C)=C\C(\C)=C\C1=CC=C(C=C1)N(=O)=O	1	0	0	0	11
BGC0000919	Pseudomonas	phaseolotoxin	1	531.198866678	307.44	-3.3395	8	10	Other	NA	C[C@H](C(=O)N[C@H](CCCCN=C(N)N)C(=O)O)NC(=O)[C@@H](CCCNP(=O)(N)NS(=O)(=O)O)N	0	0	0	0	6
BGC0000914	Streptomyces	methylenomycin A	1	182.0579088	66.9	0.3737	3	1	Other	NA	C[C@@]12O[C@]1(C)C(=O)C(=C)[C@H]2C(O)=O	1	0	0	0	21
BGC0001068	unidentified	pyripyropene A	1	583.241746384	151.46	3.7553	11	1	Terpene	NA	[H][C@@]12C[C@H](OC(C)=O)[C@@]3(C)OC4=C([C@H](O)[C@]3([H])[C@@]1(C)CC[C@H](OC(C)=O)[C@@]2(C)COC(C)=O)C(=O)OC(=C4)C1=CN=CC=C1	3	0	0	0	8
BGC0000560	Bacillus	subtilomycin	1	3234.6	NA	NA	NA	NA	RiPP	Antibacterial	NA	1	1	0	0	6
BGC0000583	Streptomyces	grisemycin	1	1832.0018614	624.66	-3.3676	23	20	RiPP	NA	CC(C(N/C(C(N1C(CCC1)C(NC(C)C(NC(C(NC(C(NC(C(NC(C(NC(C(NC(C(NC(C(NC(C(NC(C(N/C(C(NC(C(NC(C(NC(C(NC2C(C)C)=O)CC(C)C)=O)CS/C=C\NC2=O)=O)[C@H](C)CC)=O)=C/C)=O)CO)=O)[H])=O)CCC(N)=O)=O)[C@H](C)CC)=O)C(C)C)=O)CC3=CC=CC=C3)=O)CCC(N)=O)=O)C)=O)C(C)C)=O)=O)=O)=C\C)=O)N(C)C	1	0	0	0	13
BGC0001712	Aspergillus	ochrindole A	1	452.209992756	70.27	7.2147	3	3	Other	NA	COC1=C(O)C(C2=CNC3=CC=CC=C23)=C(OC)C(CC=C(C)C)=C1C1=CNC2=C1C=CC=C2	2	0	0	0	17
BGC0001291	Enterococcus	enterocin NKR-5-3B	1	-1	NA	NA	NA	NA	RiPP	NA	NA	1	0	0	0	10
BGC0000850	Streptomyces	γ-butyrolactone	1	86.036779432	26.3	0.3234	2	0	Other	NA	C1CC(=O)OC1	1	0	0	0	3
BGC0000671	Oryza	momilactone	1	314.188194692	43.37	3.8359	3	0	Terpene	NA	C[C@]1(CC[C@@H]2C(=C[C@@H]3[C@@H]4[C@@]2(CCC(=O)[C@@]4(C(=O)O3)C)C)C1)C=C	3	0	0	0	7
BGC0000355	Aspergillus	fumiquinazoline A	3	445.175004216	116.56	1.0707	7	3	NRP	Cytotoxic	[H][C@]12N[C@@H](C)C(=O)N1C1=CC=CC=C1[C@@]2(O)C[C@@]1([H])N2C(=O)C3=C(C=CC=C3)N=C2[C@H](C)NC1=O	2	0	0	0	5
BGC0000944	Staphylococcus	staphyloferrin A	1	475.086371188	299.31	-9.8603	14	4	Other	Siderophore	C(C[C@H](C(=O)[O-])NC(=O)CC(CC(=O)[O-])(C(=O)[O-])O)CNC(=O)CC(CC(=O)[O-])(C(=O)[O-])O	1	0	0	1	4
BGC0001440	Kitasatospora	cystargolide A	2	370.21038668	121.8	0.9403	5	3	Other	Inhibitor	CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)C1OC(=O)C1C(C)C)C(C)C)C(O)=O	1	0	0	0	10
BGC0001083	Streptomyces	merochlorin A	8	430.191087152	74.6	5.5271	4	2	Polyketide	Antibacterial	CC(C)C1CC2C(C)(CCC=C(C)C)C3(Cl)C(=O)C2(C1)C1=CC(O)=CC(O)=C1C3=O	1	1	0	0	41
BGC0001697	Neurospora	neurosporin A	1	-1	NA	NA	NA	NA	Polyketide	NA	NA	2	0	0	0	15
BGC0000018	Streptomyces	angolamycin	1	915.519150004	230.97	2.0739	18	4	Polyketide	NA	CCC1C(C2C(O2)(/C=C/C(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3CC(C(C(O3)C)OC4CC(C(C(O4)C)O)(C)O)N(C)C)CC=O)C)C)COC5C(C(C(C(O5)C)O)OC)OC	1	0	0	0	5
BGC0001405	Chaetomium	chaetoviridin E	2	432.1339662	89.9	3.6604	6	1	Polyketide	NA	CC[C@@H](C)\C=C\C1=CC2=C(Cl)C(=O)[C@@]3(C)OC(=O)C(C(=O)[C@@H](C)[C@@H](C)O)=C3C2=CO1	2	0	0	0	18
BGC0000117	Streptomyces	oligomycin	1	790.523113188	180.05	5.8826	11	5	Polyketide	NA	CC[C@H]\1CC[C@@H]2[C@@H]([C@@H]([C@H]([C@@]3(O2)CC[C@H]([C@H](O3)C[C@H](C)O)C)C)OC(=O)/C=C/[C@H]([C@@H]([C@H](C(=O)[C@H]([C@@H]([C@H](C(=O)[C@@]([C@@H]([C@H](C/C=C/C=C1)C)O)(C)O)C)O)C)C)O)C)C	1	0	0	0	18
BGC0000112	Streptomyces	neocarzinostatin	1	659.200275496	174.77	1.38742	13	4	Polyketide	Antibacterial,Cytotoxic	C[C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@H]\2[C@@H](C=C3/C2=C\C#C[C@@H]4[C@@](O4)(C#C3)[C@H]5COC(=O)O5)OC(=O)C6=C(C=CC7=C(C=C(C=C76)OC)C)O)NC)O)O	1	1	0	0	46
BGC0000566	Streptococcus	streptolysin S	1	-1	NA	NA	NA	NA	RiPP	Cytotoxic	NA	1	0	0	0	9
BGC0001518	Aspergillus	astellolide A	1	470.19406792	105.2	3.3881	8	0	Terpene	NA	[H][C@@]12[C@@H](CC3=C(COC3=O)[C@@]1(COC(C)=O)CCC[C@]2(C)COC(C)=O)OC(=O)C1=CC=CC=C1	2	0	0	0	10
BGC0000728	Klebsiella	capsular polysaccharide	1	1004.30676976	523.2	-14.0081	31	20	Saccharide	NA	C(C1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)C(=O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)OC5C(OC(C(C5O)O)OCC6C(C(C(C(O6)O)O)O)O)CO)CO)O)O)O)O)O	0	0	0	0	16
BGC0001257	Nodulisporium	1,3,6,8-tetrahydroxynaphthalene	1	192.042258736	80.92	1.6622	4	4	Polyketide	NA	C1=C2C=C(C=C(C2=C(C=C1O)O)O)O	2	0	0	0	1
BGC0001414	Streptomyces	griselimycin	1	1112.72091851	255.77	2.2607	12	3	NRP	NA	C[C@@H]1C[C@H]2C(=O)N[C@H](C(=O)N([C@H](C(=O)N3CCC[C@H]3C(=O)N([C@H](C(=O)NCC(=O)OC([C@@H](C(=O)N[C@H](C(=O)N2C1)CC(C)C)N(C)C(=O)[C@@H]4C[C@H](CN4C(=O)[C@H](C(C)C)N(C)C(=O)C)C)C)CC(C)C)C)C(C)C)C)CC(C)C	1	0	0	0	26
BGC0000526	Streptococcus	macedocin	1	-1	NA	NA	NA	NA	RiPP	Antibacterial	NA	1	1	0	0	14
BGC0000537	Streptococcus	nisin U	1	-1	NA	NA	NA	NA	RiPP	NA	NA	1	0	0	0	11
BGC0001778	Streptomyces	showdomycin	1	229.058637072	116.09	-2.9493	6	4	Other	NA	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)C1=CC(=O)NC1=O	1	0	0	0	17
BGC0001794	Alternaria	swainsonine	1	173.10519334	63.93	-1.4529	4	3	Polyketide	NA	C1C[C@H]([C@@H]2[C@@H]([C@@H](CN2C1)O)O)O	2	0	0	0	6
BGC0000962	Lyngbya	barbamide	1	460.054582016	42.43	5.812	4	0	NRP	Cytotoxic	CO\C(CC(C)C(Cl)(Cl)Cl)=C\C(=O)N(C)C(CC1=CC=CC=C1)C1=NC=CS1	0	0	0	0	12
BGC0000990	Sorangium	epothilone	1	507.265459032	109.25	4.47752	8	2	NRP	NA	C[C@H]1CCC[C@@]2([C@@H](O2)C[C@H](OC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O)C)(C)C)O)/C(=C/C3=CSC(=N3)C)/C)C	0	0	0	0	24
BGC0000839	Chitinophaga	flexirubin	1	634.402210208	66.76	11.69024	4	2	Other	NA	CCCCCCCCCCCCC1=C(C=C(C=C1OC(=O)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C2=CC(=C(C=C2)O)C)C)O	0	0	0	0	25
BGC0000641	Enterobacteriaceae	carotenoid	1	738.6737406	99.38	11.5564	6	4	Terpene	NA	C[C@H](CCCCC(C)CCC[C@@H](C)CCCC(C)CCC=C(C)C)CCC[C@H](C)CCC[C@H](C)CCCC(C)(C)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O	0	0	0	0	6
BGC0001587	Streptomyces	ethylenediaminesuccinic acid hydroxyarginine (EDHA)	1	349.159748076	218.09	-3.21923	7	9	Other	NA	N=C(N)NCC(O)CC(C(O)=O)NCCNC(CC(O)=O)C(O)=O	1	0	0	0	6
BGC0000596	Streptomyces	SLI-2138	1	2138.17	NA	NA	NA	NA	RiPP	NA	NA	1	0	0	0	21
BGC0000385	Lysobacter	lysobactin	1	1275.71868664	529.23	-5.22493	19	19	NRP	NA	CC[C@H](C)[C@@H]1NC(=O)[C@@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](N)CC(C)C)[C@H](OC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC1=O)[C@H](C)O)[C@H](O)C(N)=O)C1=CC=CC=C1)[C@H](O)C(C)C	0	0	0	0	91
BGC0000619	Lactobacillus	gassericin T	1	-1	NA	NA	NA	NA	RiPP	NA	NA	1	0	0	0	9
BGC0000612	Bacillus	thiocillin I	1	1159.20496077	345.75	4.6829	23	10	RiPP	Antibacterial	C/C=C/1\C2=NC(=CS2)C(=O)NC(C3=NC(=CS3)C(=O)NC(C4=NC(=CS4)C5=C(C=CC(=N5)C6=NC(=CS6)C7=NC(=CS7)C(=O)N/C(=C/C)/C(=O)NCC(C)O)C8=NC(=CS8)C(=O)NC(C(=O)N1)C(C)O)C(C)O)C(C)(C)O	1	1	0	0	21
BGC0000143	Streptomyces	salinomycin	1	750.49181306	161.21	6.188	10	4	Polyketide	NA	CCC(C1CCC(C)C(O1)C(C)C(O)C(C)C(=O)C(CC)C1OC2(OC3(CCC(C)(O3)C3CCC(O)(CC)C(C)O3)C(O)C=C2)C(C)CC1C)C(O)=O	1	0	0	0	8
BGC0000337	Metarhizium	destruxin A	1	577.347548844	145.43	0.846	7	2	NRP	NA	[H][C@@]12CCCN1C(=O)[C@@H](CC=C)OC(=O)CCNC(=O)[C@H](C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](NC2=O)[C@@H](C)CC	2	0	0	0	21
BGC0001793	Chaetothyriaceae	swainsonine	1	173.10519334	63.93	-1.4529	4	3	Polyketide	NA	C1C[C@H]([C@@H]2[C@@H]([C@@H](CN2C1)O)O)O	2	0	0	0	7
BGC0001836	Gynuella	tartrolon D	3	820.460906856	226.58	4.3586	14	6	Polyketide	Antibacterial	C[C@H]1[C@@]2(O)O[C@H](CC(C[C@H](CC/C=C/C=C\CC[C@H](C)OC(C([C@@]3(O)[C@H](C)CC[C@@H](CC(C[C@H](CC/C=C/C=C\CC[C@H](C)OC(C2O)=O)O)=O)O3)O)=O)O)=O)CC1	0	1	0	0	16
BGC0000696	Micromonospora	gentamicin	1	468.243143352	248.39	-6.3916	14	10	Saccharide	NA	CN[C@H]1[C@@H](O)CO[C@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]2O)[C@@H]1O	1	0	0	0	65
BGC0000711	Streptomyces	neomycin	1	614.312285532	353.11	-8.8953	19	13	Saccharide	NA	C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N	1	0	0	0	21
BGC0000971	Streptomyces	cinnabaramide A	1	335.209658408	75.63	2.4743	4	2	NRP	NA	[H][C@@]1(CCCC=C1)[C@H](O)[C@@]12NC(=O)[C@H](CCCCCC)[C@]1(C)OC2=O	1	0	0	0	22
BGC0001178	Actinoplanes	UK-68,597	1	1649.21450072	565.27	3.6611	28	18	NRP	Antibacterial	O=C1N[C@@H](C2=CC(O3)=CC(OS(O)(=O)=O)=C2)C(N[C@@H](C(N[C@@H]45)=O)C6=CC(OC7=C(Cl)C=C(C[C@@H]1NC(C(C8=CC3=C(O)C(Cl)=C8)=O)=O)C=C7)=C(O[C@@H]9[C@H](OC%10O[C@@H](C)[C@@H](O)[C@](N)(C)C%10)[C@@H](O)[C@H](O)[C@@H](CO)O9)C(OC%11=CC=C([C@@H](O)[C@H](NC4=O)C(N[C@@H](C(O)=O)C%12=CC(O)=CC(O)=C%12C%13=CC5=CC(Cl)=C%13O)=O)C=C%11Cl)=C6)=O	1	1	0	0	46
