BGC	Genus	Name	Type	Functions	Structure	Gram	Antibacterial	Antifungal	Siderophore
BGC0000156	Aspergillus	TAN-1612	Polyketide	Inhibitor	unk	2	0	0	0
BGC0001043	Streptomyces	SGR PTMs	NRP	unk	unk	1	0	0	0
BGC0001263	Claviceps	ergometrine	NRP	unk	unk	2	0	0	0
BGC0001409	Streptomyces	dutomycin	Polyketide	unk	CCC[C@@H](C)\C=C(\C)C(=O)OC1C(C)OC(CC1(C)O)OC1CCC(O[C@@H]2C(O)=C(C(C)=O)C(=O)[C@@]3(O)C(=O)C4=C(O)C5=C(C(C)=C4C[C@@]23O)C(=O)C(OC)=CC5=O)OC1C	1	0	0	0
BGC0000077	Hypomyces	hypothemycin	Polyketide	unk	unk	2	0	0	0
BGC0001353	Lentzea	thiolactomycin	NRP	unk	C\C(C=C)=C/[C@@]1(C)SC(=O)C(C)=C1O	1	0	0	0
BGC0000319	Streptomyces	cephamycin C	NRP	Antibacterial,Inhibitor	CO[C@@]1([C@@H]2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)O)NC(=O)CCCC(C(=O)O)N	1	1	0	0
BGC0001586	Pseudomonas	EPS273	Saccharide	unk	unk	0	0	0	0
BGC0000909	Streptomyces	melanin	Other	unk	unk	1	0	0	0
BGC0000435	Pseudomonas	syringafactin	NRP	unk	unk	0	0	0	0
BGC0001653	Microbispora	linfuranone B	Polyketide	unk	unk	1	0	0	0
BGC0000906	Heliophilum	heme D1	Other	unk	unk	1	0	0	0
BGC0001310	Streptomyces	naringenin	Terpene	unk	unk	1	0	0	0
BGC0000097	Streptomyces	ML-449	Polyketide	Antibacterial,Antifungal	unk	1	1	1	0
BGC0000886	Streptomyces	allylmalonyl-CoA	Other	unk	unk	1	0	0	0
BGC0001703	Nostoc	nocuolin A	Other	unk	CCCCC/C1=N/N(C(=O)CCO)OC(CCCCC)C1	0	0	0	0
BGC0000655	Streptomyces	siomycin	Terpene	unk	unk	1	0	0	0
BGC0000679	Micromonospora	diazepinomicin	Terpene	unk	unk	1	0	0	0
BGC0000414	Streptomyces	quinocarcin	NRP	unk	unk	1	0	0	0
BGC0001153	Paenibacillus	polymyxin B	NRP	Antibacterial	unk	1	1	0	0
BGC0000874	Streptomyces	blasticidin	Other	unk	unk	1	0	0	0
BGC0000917	Rhodobacter	molybdenum cofactor	Other	unk	unk	0	0	0	0
BGC0000360	Streptomyces	GE81112	NRP	unk	unk	1	0	0	0
BGC0000683	Streptomyces	avermitilol	Terpene	unk	unk	1	0	0	0
BGC0001458	Salinispora	salinipostin	Other	unk	unk	1	0	0	0
BGC0001435	Streptomyces	ikarugamycin	NRP	Antibacterial,Antifungal	unk	1	1	1	0
BGC0001316	Lotus	linamarin	Other	unk	unk	3	0	0	0
BGC0001598	Streptomyces	foxicins A-D	NRP	unk	unk	1	0	0	0
BGC0001086	Sphingomonas	astaxanthin dideoxyglycoside	Saccharide	unk	unk	0	0	0	0
BGC0000378	Kutzneria	kutznerides	NRP	unk	unk	1	0	0	0
BGC0000447	Pseudomonas	tolaasin I	NRP	Antifungal	unk	0	0	1	0
BGC0001676	Streptomyces	mycemycin A	Alkaloid	unk	COC(=O)C1=C2NC(=O)C3=CC=CC=C3OC2=CC=C1	1	0	0	0
BGC0000793	Salmonella	lipopolysaccharide oligosaccharide	Saccharide	unk	unk	0	0	0	0
BGC0001461	Amycolatopsis	Nogabecin	NRP	Antibacterial	unk	1	1	0	0
BGC0000844	Streptomyces	clavulanic acid	Other	unk	unk	1	0	0	0
BGC0001040	Streptomyces	rapamycin	NRP	unk	unk	1	0	0	0
BGC0000926	Bacillus	rhizocticin	Other	unk	unk	1	0	0	0
BGC0001504	Amycolatopsis	amycomicin	Polyketide	unk	unk	1	0	0	0
BGC0001667	Fischerella	microcystin-LR	NRP	unk	C[C@H]1[C@@H](NC(=O)[C@@H](NC(=O)[C@H]([C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)C(=C)N(C(=O)CC[C@@H](NC1=O)C(=O)O)C)C)CC(C)C)C(=O)O)C)CCCN=C(N)N)/C=C/C(=C/[C@H](C)[C@H](CC2=CC=CC=C2)OC)/C	0	0	0	0
BGC0000194	Streptomyces	Actinorhodin	Polyketide	Antibacterial	unk	1	1	0	0
BGC0001530	Streptomyces	bicyclomycin	Other	unk	[H][C@](O)([C@@](C)(O)CO)[C@@]12NC(=O)[C@@](O)(NC1=O)C(=C)CCO2	1	0	0	0
BGC0000569	Bacillus	plantazolicin	LAP	Antibacterial	unk	1	1	0	0
BGC0000690	Streptomyces	5'-hydroxystreptomycin 	Saccharide	unk	unk	1	0	0	0
BGC0001224	uncultured	reductasporine	Other	unk	unk	3	0	0	0
BGC0001716	Xenorhabdus	odilorhabdins	NRP	unk	unk	0	0	0	0
BGC0000255	symbiont	pederin	Polyketide	unk	unk	3	0	0	0
BGC0001819	Streptomyces	venemycin	Polyketide	unk	unk	1	0	0	0
BGC0001795	Nostoc	swinholide A	Polyketide	unk	C[C@@H]1O[C@H](C[C@@H](C1)OC)CC[C@@H]([C@H](O)[C@@H]([C@H]2OC(=O)/C=C\C(=C/C[C@@H](C[C@H]3O[C@H](C[C@@H]([C@H]([C@H](C[C@H]([C@@H]([C@H](OC(=O)/C=C\C(=C/C[C@@H](C[C@H]4O[C@H](C[C@@H]([C@H]([C@H](C[C@H]([C@@H]2C)O)O)C)OC)CC=C4)O)\C)[C@H]([C@@H](O)[C@H](CC[C@@H]5O[C@H](C[C@H](C5)OC)C)C)C)C)O)O)C)OC)CC=C3)O)\C)C)C	0	0	0	0
BGC0000701	Streptomyces	jinggangmycin	Saccharide	unk	unk	1	0	0	0
BGC0000941	Streptomyces	desferrioxamine B	Other	unk	unk	1	0	0	0
BGC0001465	Marinomonas	bromopyrroles/bromophenols	Other	unk	unk	0	0	0	0
BGC0000972	Escherichia	N-myristoyl-D-asparagine	NRP	Antibacterial,Other	CCCCCCCCCCCCCC(N[C@@H](C(O)=O)CC(N)=O)=O	0	1	0	0
BGC0001474	Streptomyces	thiopeptin	Thiopeptide	Antibacterial	C[C@H]([C@H](NC1=S)C2=NC([C@@H](N3)[C@](C4=NC(C(N[C@@](C(N/C(C5=N[C@@H](C(N[C@](C(C)(O)[C@@H](C)O)([H])C6=NC1=CS6)=O)CS5)=C\\C)=O)([H])[C@@H](C)O)=O)=CS4)(NC([C@H](C)NC(C(NC([C@H](C)NC([C@H](C(C)C)N[C@@H]7C=CC8=C(N=C9C=C8[C@@H](O)C)[C@H]7O)=O)=O)=C)=O)=O)CC[C@@H]3C%10=NC(C(NC(C(NC(C(O)=O)=C)=O)=C)=O)=CS%10)=CS2)OC9=O	1	1	0	0
BGC0000624	Lactobacillus	salivaricin CRL1328 alpha peptide	Other	unk	unk	1	0	0	0
BGC0000570	Asticcacaulis	astexin-1	Lasso Peptide	unk	unk	0	0	0	0
BGC0000496	Streptomyces	AmfS	lantipeptide	unk	unk	1	0	0	0
BGC0001262	Alternaria	AK-toxin	Polyketide	unk	unk	2	0	0	0
BGC0001507	Streptomyces	anantin C	RiPP	unk	unk	1	0	0	0
BGC0000281	Pseudomonas	2,4-Diacetylphloroglucinol	Polyketide	unk	unk	0	0	0	0
BGC0001526	Synechocystis	bartolosides E	Other	unk	unk	0	0	0	0
BGC0001537	Streptomyces	butyrolactol A	Polyketide	unk	CC(CC=CC=CCCC=CC=CCCC(C)(C)C)C(O)C(O)C(O)C(O)C(O)C1OC(=O)C(O)C1O	1	0	0	0
BGC0000652	Streptomyces	napyradiomycin	Terpene	unk	unk	1	0	0	0
BGC0001151	Streptomyces	valclavam	Other	Antifungal,Inhibitor	unk	1	0	1	0
BGC0000106	Streptomyces	naphthomycin	Polyketide	Cytotoxic	unk	1	0	0	0
BGC0000713	Streptomyces	ribostamycin	Saccharide	unk	unk	1	0	0	0
BGC0000404	Penicillium	penicillin	NRP	unk	unk	2	0	0	0
BGC0001140	Streptomyces	platensimycin	Terpene	Antibacterial,Inhibitor	unk	1	1	0	0
BGC0000621	Escherichia	linaclotide	Other	unk	unk	0	0	0	0
BGC0000374	Streptomyces	hormaomycin	NRP	Antibacterial,Signalling,Other	CC[C@H](C)[C@@H](C(N1C[C@@H](/C=C\\C)C[C@H]1C2=O)=O)NC([C@H]([C@@H](C3=CC=CC=C3)C)NC([C@H](NC([C@H]([C@H](C)C4=CC=CC=C4)NC([C@@H]([C@@H](C)O2)NC([C@H](C[C@H]5[C@H]([N+]([O-])=O)C5)NC(C6=CC=C(Cl)N6O)=O)=O)=O)=O)C[C@H]7[C@H]([N+]([O-])=O)C7)=O)=O	1	1	0	0
BGC0000327	Streptomyces	congocidine	NRP	unk	unk	1	0	0	0
BGC0001121	Aspergillus	orsellinic acid	Polyketide	Unknown	unk	2	0	0	0
BGC0001786	Novosphingobium	subterisin	RiPP	unk	unk	0	0	0	0
BGC0000037	Aspergillus	cichorine	Polyketide	unk	unk	2	0	0	0
BGC0000415	Streptomyces	quinomycin	NRP	unk	unk	1	0	0	0
BGC0001290	Aspergillus	emericellamide A	NRP	unk	unk	2	0	0	0
BGC0000101	Aspergillus	emodin	Polyketide	Inhibitor	unk	2	0	0	0
BGC0001300	Streptomyces	anthracimycin	Polyketide	unk	unk	1	0	0	0
BGC0000851	Streptomyces	albonoursin	Other	unk	unk	1	0	0	0
BGC0001651	Tannerella	legionaminic acid	Other	unk	unk	0	0	0	0
BGC0001317	Lotus	lupeol	Terpene	unk	unk	3	0	0	0
BGC0001455	Streptomyces	antimycin	NRP	unk	unk	1	0	0	0
BGC0000775	Legionella	lipopolysaccharide	Saccharide	unk	unk	0	0	0	0
BGC0000845	Streptomyces	clavulanic acid	Other	Inhibitor	unk	1	0	0	0
BGC0001377	Streptomyces	uncialamycin	Polyketide	unk	unk	1	0	0	0
BGC0000175	Streptomyces	cycloheximide	Polyketide	Inhibitor	unk	1	0	0	0
BGC0001003	Streptomyces	alpha-lipomycin	NRP	Antibacterial	CC(C)C(O[C@H]1C[C@H](O)[C@H](O)[C@@H](C)O1)C(C)\\C=C(C)\C=C\C=C\C=C\C=C\C(=O)C1=C(O)C(CCC(O)=O)N(C)C1=O	1	1	0	0
BGC0000405	Penicillium	delta-(L-alpha-aminoadipyl)-L-cysteine-D-valine	NRP	Other	unk	2	0	0	0
BGC0001044	Leptosphaeria	sirodesmin	NRP	unk	unk	2	0	0	0
BGC0000966	Actinoalloteichus	caerulomycin A	NRP	unk	unk	1	0	0	0
BGC0001541	Cercospora	cercosporin	Polyketide	unk	COC1=C(C[C@H](C)O)C2=C3C(C[C@H](C)O)=C(OC)C(=O)C4=C3C3=C(OCOC5=C3C2=C(C(O)=C5)C1=O)C=C4O	2	0	0	0
BGC0001661	Streptomyces	mayamycin B	Polyketide	unk	CN[C@@H]1C[C@@H](O[C@H](C)[C@H]1O)C1=C(O)C2=C(C(=O)C3=CC=CC(O)=C3C2=O)C2=C(O)C=C(C)C=C12	1	0	0	0
BGC0000208	Amycolatopsis	chelocardin	Polyketide	unk	unk	1	0	0	0
BGC0000998	Streptomyces	guadinomine	NRP	unk	unk	1	0	0	0
BGC0001617	Stereum	hirsutene	Terpene	unk	C[C@]12[C@H](CCC1=C)C[C@@H]3[C@H]2CC(C3)(C)C	2	0	0	0
BGC0000605	Streptomyces	GE37468	Thiopeptide	unk	NC(=O)CC1NC(=O)c2nc(oc2C)c2ccc(nc2c2csc(n2)c2csc(n2)C2N(C(=O)C(NC(=O)C3N=C(C(NC(=O)c4nc1sc4)Cc1ccccc1)SC3)Cc1ccc(cc1)O)C(CC2C)O)c1scc(n1)C(=O)NC(=C)C(=O)NC(=C)C(=O)O	1	0	0	0
BGC0000531	Streptococcus	mutacin I	lantipeptide	unk	unk	1	0	0	0
BGC0000317	Acremonium	cephalosporin C	NRP	unk	unk	2	0	0	0
BGC0001301	Streptomyces	anthracimycin	Polyketide	unk	unk	1	0	0	0
BGC0000087	Streptomyces	lasalocid	Polyketide	unk	unk	1	0	0	0
BGC0001131	Xenorhabdus	Ambactin	NRP	Other	CC(C)C[C@@H]2NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc1ccccc1)NC2=O)CCC(N)=O)Cc3ccccc3	0	0	0	0
BGC0001380	Agrobacterium	salecan	Saccharide	unk	unk	0	0	0	0
BGC0000034	Streptomyces	candicidin	Polyketide	unk	unk	1	0	0	0
BGC0001002	Streptomyces	jawsamycin	NRP	unk	unk	1	0	0	0
BGC0001027	Nocardia	nocobactin NA	NRP	unk	unk	1	0	0	0
BGC0001370	Streptomyces	lipopeptide 8D1-1	NRP	unk	CCCC1OC1C(=O)N[C@@H](CO)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](C(=O)N[C@@H](CC(O)=O)C(=O)NCC(=O)N[C@H](C(O)CON)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O)C1=CC=C(O)C=C1	1	0	0	0
BGC0000801	Sinorhizobium	galactoglucan	Saccharide	unk	unk	0	0	0	0
BGC0001527	Gelatoporia	basidioferrin	Other	unk	CC(=O)N(O)CCCC(N)C(=O)NC(CCCN(O)C(C)=O)C(=O)NC(CCCN(O)C(C)=O)C(=O)O	2	0	0	0
BGC0000989	Sorangium	epothilone	NRP	unk	unk	0	0	0	0
BGC0001215	Streptomyces	conglobatin	NRP	unk	unk	1	0	0	0
BGC0001654	Bacteroides	lipooligosaccharide	Saccharide	unk	unk	0	0	0	0
BGC0001811	Fusarium	trichodiene-11-one	Terpene	unk	unk	2	0	0	0
BGC0000495	Actinoplanes	actagardine	lantipeptide	unk	unk	1	0	0	0
BGC0001372	Penicillium	penigequinolone	Terpene	unk	unk	2	0	0	0
BGC0000375	Streptomyces	indigoidine	NRP	unk	unk	1	0	0	0
BGC0000017	[Oscillatoria]	Anatoxin-a	Polyketide	Other	unk	0	0	0	0
BGC0000897	Streptomyces	dehydrophos	Other	unk	unk	1	0	0	0
BGC0000731	Klebsiella	capsular polysaccharide	Saccharide	unk	unk	0	0	0	0
BGC0001649	Streptomyces	lavendiol	Polyketide	unk	unk	1	0	0	0
BGC0000371	Rhodococcus	heterobactin A	NRP	unk	c1cc(c(c(c1)O)O)C(=O)N[C@H](CCCN/C(=N/C(=O)c2cccc(c2O)O)/N)C(=O)NCC(=O)N[C@H]3CCCN(C3=O)O	1	0	0	0
BGC0000321	Chaetomium	chaetocin	NRP	unk	unk	2	0	0	0
BGC0000648	Myxococcus	carotenoid	Terpene	unk	unk	0	0	0	0
BGC0001000	Lyngbya	hectochlorin	NRP	Antifungal,Cytotoxic	unk	0	0	1	0
BGC0001427	Myxococcus	Myxochromide A	NRP	Unknown	CN([C@H]1[C@@H](C)OC(=O)CC[C@H](NC(=O)[C@H](NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC1=O)C)C)C(=O)N)C(=O)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C	0	0	0	0
BGC0000056	Actinomadura	esperamicin	Polyketide	unk	unk	1	0	0	0
BGC0000470	Streptomyces	bottromycin D	Cyanobactin	unk	unk	1	0	0	0
BGC0000395	Nocardia	nocardicin A	NRP	unk	unk	1	0	0	0
BGC0001673	Streptomyces	moomysin	RiPP	unk	unk	1	0	0	0
BGC0001776	Penicillium	shearinine D	Terpene	unk	[H][C@]12CC3=C(NC4=CC5=C(C=C34)[C@@H](O)[C@@]3([H])C5=CC(C)(C)OC3(C)C)[C@]1(C)[C@@]1(C)CC[C@@]34O[C@@]([H])(C(=O)C=C3[C@]1(O)CC2)C(C)(C)O4	2	0	0	0
BGC0000265	Streptomyces	rhodomycin	Polyketide	unk	unk	1	0	0	0
BGC0001102	Burkholderia	Malleilactone	NRP	Siderophore	O=C1/C(C=C(C(CC)=O)O1)=C(O)/C(C)=C/CCCCCCC	0	0	0	1
BGC0001048	Streptoalloteichus	tallysomycin A	NRP	Cytotoxic	unk	1	0	0	0
BGC0001197	Frankia	frankiamicin	Polyketide	unk	unk	1	0	0	0
BGC0001674	Streptomyces	MS-271	RiPP	unk	unk	1	0	0	0
BGC0000398	Pseudomonas	Orfamide B	NRP	Unknown	O=C([C@H](NC([C@@H](CCC(O)=O)NC([C@@H](NC(C[C@@H](O)CCCCCCCCCCC)=O)CC(C)C)=O)=O)[C@@H](C)OC([C@H](C(C)C)NC1=O)=O)N[C@H](C(C)C)C(N[C@@H](CC(C)C)C(N[C@H](CO)C(N[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(N[C@@H]1CO)=O)=O)=O)=O)=O	0	0	0	0
BGC0001181	Streptomyces	geosmin	Terpene	unk	unk	1	0	0	0
BGC0000517	Bacillus	Haloduracin beta	Lantipeptide	Antibacterial,Inhibitor	unk	1	1	0	0
BGC0000581	Escherichia	microcin J25	Linaridin	unk	unk	0	0	0	0
BGC0000948	Bacteroides	alpha-galactosylceramide	Other	Other	unk	0	0	0	0
BGC0001010	Melittangium	Melithiazol A	NRP	Antifungal,Cytotoxic	C=C(C)C1=N[C@]([H])(C2=NC(/C=C/[C@H]([*])[C@H](/C(=C\[*])/[*])C)=CS2)CS1	0	0	1	0
BGC0000824	Nostoc	Scytonemin	Alkaloid	Other	unk	0	0	0	0
BGC0000024	Streptomyces	aureothin	Polyketide	Antibacterial,Antifungal,Cytotoxic,Other	unk	1	1	1	0
BGC0001045	Pseudomonas	Spiruchostatin A	NRP	Antifungal,Cytotoxic,Inhibitor	unk	0	0	1	0
BGC0001246	Sarocladium	trans-resorcylide	Polyketide	unk	unk	2	0	0	0
BGC0001750	Nannocystis	pyrronazol B	NRP	unk	COC1=CC(=O)O[C@H]([C@H]1C)C1=COC(=N1)C(\C)=C\C1=CC=C(Cl)N1	0	0	0	0
BGC0000629	Aspergillus	aflatrem	Terpene	unk	unk	2	0	0	0
BGC0000510	Staphylococcus	epilancin K7	lantipeptide	unk	unk	1	0	0	0
BGC0001260	Tolypocladium	terpendole E	Terpene	unk	unk	2	0	0	0
BGC0001456	Streptomyces	isorenieratene	Terpene	unk	unk	1	0	0	0
BGC0000798	Sorghum	dhurrin	Saccharide	unk	unk	3	0	0	0
BGC0001519	Streptomyces	aurantimycin	NRP	unk	COC[C@@H]1N(O)C(=O)[C@H]2CCCNN2C(=O)[C@@H](NC(=O)[C@](C)(O)[C@]2(O)CC[C@@H](CC(C)C)[C@H](C)O2)[C@@H](OC(=O)[C@@H](C)N(O)C(=O)[C@@H]2CCCNN2C(=O)CNC1=O)C(C)C	1	0	0	0
BGC0001095	Bacillus	fengycin	Other	Antifungal	unk	1	0	1	0
BGC0000376	Streptomyces	JBIR-34, JBIR-35	NRP	unk	unk	1	0	0	0
BGC0001413	Cystobacter	cystobactamide	NRP	unk	unk	0	0	0	0
BGC0000819	Penicillium	parahequamide A	NRP	Antifungal	C[C@]1(CCN2[C@]13C[C@H]4[C@](C2)(C[C@@]5(C4(C)C)C6=C(C7=C(C=C6)OC(C=CO7)(C)C)NC5=O)N(C3=O)C)O	2	0	1	0
BGC0001503	Amycolatopsis	amycolamycin A	Polyketide	unk	unk	1	0	0	0
BGC0000159	Streptomyces	tautomycin	Polyketide	Inhibitor	unk	1	0	0	0
BGC0001610	Streptomyces	gougerotin	Other	unk	CNCC(=O)NC(CO)C(=O)NC1C(C(C(OC1C(=O)N)N2C=CC(=NC2=O)N)O)O	1	0	0	0
BGC0000642	Enterobacteriaceae	carotenoid	Terpene	unk	unk	0	0	0	0
BGC0001029	Nostoc	Nostophycin	NRP	Unknown	unk	0	0	0	0
BGC0000231	Streptomyces	griseusin	Polyketide	unk	unk	1	0	0	0
BGC0001823	Streptomyces	weishanmycin	NRP	unk	unk	1	0	0	0
BGC0000386	Burkholderia	Malleobactin A	NRP	Siderophore	O=C(N[C@H]([C@@H](O)C(O)=O)C(N[C@@H](CO)C(N[C@@H](CCCN(O)C=O)C(NCCCCN)=O)=O)=O)[C@H](CCC[N+]([O-])=O)NC=O	0	0	0	1
BGC0000443	Pseudomonas	thanamycin	NRP	Antifungal	unk	0	0	1	0
BGC0001249	Alternaria	dimethylcoprogen	NRP	unk	unk	2	0	0	0
BGC0000995	Pseudomonas	FR901464	NRP	unk	unk	0	0	0	0
BGC0000661	Nostoc	geosmin	Terpene	Other	unk	0	0	0	0
BGC0000040	Streptomyces	concanamycin A	Polyketide	unk	unk	1	0	0	0
BGC0001344	Cystobacter	tubulysin A	NRP	unk	unk	0	0	0	0
BGC0000254	Streptomyces	oxytetracycline	Polyketide	unk	unk	1	0	0	0
BGC0001800	Candidatus	theonellamide	NRP	unk	C[C@H]([C@H]1C(=O)NC[C@@H](C(=O)N[C@@H](C[C@H](CC(=O)N[C@H]2CC3=CN(C[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)[C@H](C(=O)N)O)CC(=O)N)NC(=O)[C@@H](NC(=O)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@H](C)O)CO)CC4=CC=CC=C4)[C@H](/C=C(\C)/C=C/C5=CC=CC=C5)O)CO)C=[N+]3[C@H]6[C@@H]([C@H]([C@H]([C@H](O6)CO)O)O)O)O)C(=O)[O-])O)C7=CC=C(C=C7)Br	0	0	0	0
BGC0000726	Pseudomonas	alginate	Saccharide	unk	unk	0	0	0	0
BGC0001510	Streptomyces	anisomycin	Other	unk	COC1=CC=C(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)C=C1	1	0	0	0
BGC0001167	Microcystis	Piricyclamide	None	Unknown	unk	0	0	0	0
BGC0000427	Anabaena	shinorine	NRP	Other	O[C@](CC(NCC(O)=O)=C/1OC)(CO)CC1=N/[C@@H](CO)C(O)=O	0	0	0	0
BGC0001303	Micromonospora	lobosamide	Polyketide	unk	unk	1	0	0	0
BGC0000089	Aspergillus	lovastatin	Polyketide	unk	unk	2	0	0	0
BGC0000229	Streptomyces	grincamycin	Polyketide	Cytotoxic	O=C2C3=C(C=C[C@@](C[C@@](C)(OC5CCC(OC8CCC(C(C)O8)=O)C(C)O5)C4)(O)[C@@](O)3C4=O)C(C1=C(O)C(C6CC(O)C(OC7CCC(OC9CCC(C(C)O9)=O)C(C)O7)C(C)O6)=CC=C12)=O	1	0	0	0
BGC0001810	Polymorphospora	trehangelin	Polyketide	unk	unk	1	0	0	0
BGC0001422	Myxococcus	Myxochromide A	NRP	Unknown	CN([C@H]1[C@@H](C)OC(=O)CC[C@H](NC(=O)[C@H](NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC1=O)C)C)C(=O)N)C(=O)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C	0	0	0	0
BGC0000064	Fusarium	fusarin	Polyketide	unk	unk	2	0	0	0
BGC0000084	Streptomyces	laidlomycin	Polyketide	unk	unk	1	0	0	0
BGC0000127	Pseudomonas	pyoluteorin	Polyketide	unk	unk	0	0	0	0
BGC0000608	Actinokineospora	nocathiacin	Thiopeptide	unk	unk	1	0	0	0
BGC0001253	Alternaria	ACT-Toxin I	Polyketide	unk	unk	2	0	0	0
BGC0000500	Carnobacterium	carnolysin A1	lantipeptide	unk	unk	1	0	0	0
BGC0000331	Planktothrix	cyanopeptin	NRP	unk	unk	0	0	0	0
BGC0000725	Pseudomonas	alginate	Saccharide	unk	unk	0	0	0	0
BGC0000901	Aspergillus	ferrichrome	Other	unk	unk	2	0	0	0
BGC0000082	Actinomadura	kijanimicin	Polyketide	unk	unk	1	0	0	0
BGC0000545	Ruminococcus	ruminococcin A	lantipeptide	unk	unk	1	0	0	0
BGC0000668	Hapalosiphon	12-epi-hapalindole C	Terpene	Unknown	C=C[C@@]1(C)[C@H]([N+]#[C-])[C@]([C@@]([H])(C(C)=C)CC1)([H])C2=CNC3=CC=CC=C32	0	0	0	0
BGC0000984	Delftia	delftibactin A	NRP	unk	unk	0	0	0	0
BGC0001708	Aspergillus	novofumigatonin	Polyketide	unk	unk	2	0	0	0
BGC0001296	Streptomyces	streptazone E	Polyketide	unk	unk	1	0	0	0
BGC0001023	Stigmatella	Myxochromide S1	NRP	Unknown	CN(C1C(C)CC(=O)C(NC(=O)C(C)NC(=O)C(C)NC(=O)C(NC1=O)CC(C)C)CCC(=O)N)C(=O)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C	0	0	0	0
BGC0000351	Mycobacterium	exochelin	NRP	unk	unk	1	0	0	0
BGC0001171	Listeria	Listeriolysin S	LAP	Cytotoxic	unk	1	0	0	0
BGC0001231	Jahnella	Microsclerodermin	NRP	Antibacterial	O=C([C@@H](O)[C@H](NC(C[C@@H](O)CNC(CNC([C@@H](CC1=CNC2=C1C=CC(Cl)=C2)NC(CN(C(C3)=O)C)=O)=O)=O)=O)[C@H](O)[C@@H](O)C/C=C/C4=CC=CC=C4)N[C@H](C5)[C@@]3(O)NC5=O	0	1	0	0
BGC0000257	Streptomyces	prodigiosin	Polyketide	unk	unk	1	0	0	0
BGC0000154	Talaromyces	stipitatic acid	Polyketide	Other	unk	2	0	0	0
BGC0001665	Mycobacterium	methylated alkyl-resorcinol	Polyketide	unk	unk	1	0	0	0
BGC0000217	Streptomyces	daunorubicin	Polyketide	unk	unk	1	0	0	0
BGC0000561	Streptococcus	thermophilin 1277	lantipeptide	unk	unk	1	0	0	0
BGC0000535	Lactococcus	nisin A	Lantipeptide	Antibacterial,Signalling	unk	1	1	0	0
BGC0000457	Rhizobium	vicibactin	NRP	unk	unk	0	0	0	0
BGC0000185	Teredinibacter	tartrolon	Polyketide	unk	unk	0	0	0	0
BGC0000174	Candidatus	bryostatin	Polyketide	unk	unk	0	0	0	0
BGC0001164	Cyanothece	1-heptadecene	Polyketide	Unknown	unk	0	0	0	0
BGC0001805	Klebsiella	tilivalline	NRP	unk	C1C[C@H]2[C@@H](NC3=C(C=CC=C3O)C(=O)N2C1)C4=CNC5=CC=CC=C54	0	0	0	0
BGC0000898	Streptomyces	desosamine	Saccharide	Antibacterial	C[C@@H]1C[C@@H]([C@H]([C@@H](O1)O)O)N(C)C	1	1	0	0
BGC0000588	Escherichia	microcin L	Microcin	unk	unk	0	0	0	0
BGC0001817	Streptomyces	vancosamine	Other	unk	C[C@@H]([C@H]([C@](C)(CC=O)N)O)O	1	0	0	0
BGC0000614	Streptomyces	thiostrepton	Thiopeptide	unk	unk	1	0	0	0
BGC0001398	Phomopsis	phomopsin A	Other	unk	unk	2	0	0	0
BGC0000114	Streptomyces	nigericin	Polyketide	Other	unk	1	0	0	0
BGC0001645	Streptomyces	lagmysin	RiPP	unk	unk	1	0	0	0
BGC0000110	Streptomyces	Neoaureothin	Polyketide	Antifungal,Inhibitor	unk	1	0	1	0
BGC0000919	Pseudomonas	phaseolotoxin	Other	unk	unk	0	0	0	0
BGC0000914	Streptomyces	methylenomycin	Other	unk	unk	1	0	0	0
BGC0001068	Penicillium	pyripyropene A	Terpene	unk	unk	2	0	0	0
BGC0000560	Bacillus	Subtilomycin	Lantipeptide	Antibacterial	unk	1	1	0	0
